"事务名称","应用名称","Apdex","响应时间中位数(ms)","响应时间 P75 (ms)","响应时间 P95 (ms)","响应时间 P99 (ms)","平均请求时间","吞吐率 (/s)","请求数","错误率(%)","错误次数","慢次数","异常次数","请求类型"
"URI/grcv5/wp/selector/G_1_copyCtSelector.htm","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.828125","8.4140625","8.8828125","8.976562410593033","8.40","< 0.01","5","0.00","0","0","0","Web请求"
"URI/grcv5/wp/selector/G_1_copyCtSelector.htm","org.springframework.boot.loader.WarLauncher","1.0","7.6953125","7.84765625","7.9695312306284904","7.993906255811453","8.00","< 0.01","6","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/flowDesignService.headquartersEnabledHierarchy.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","11.390625","14.278124827891588","14.85562513768673","9.75","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.getSignInfoByContractId.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","11.390625","14.278124827891588","14.85562513768673","10.00","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/admin/flowNew/designer.jsp","org.springframework.boot.loader.WarLauncher","1.0","7.59375","7.796875","7.959374990314245","7.991875007748604","7.50","< 0.01","2","0.00","0","0","2","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.getCreditInfo.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","12.6953125","13.739062437787652","13.947812549769878","11.00","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/user/todolistNew/hdProductWorkflowList.jsp","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.59375","7.796875","7.959374990314245","7.991875007748604","7.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/user/product/honorHalls/honorHallsSecondList.jsp","org.springframework.boot.loader.WarLauncher","1.0","7.59375","9.296875","10.659374918788671","10.931875064969063","8.75","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.companyLawyer.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","8.296875","8.859374966472387","8.97187502682209","8.25","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPerformFeedbackService.hasFeedback.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","17.0859375","17.817187456414104","17.963437534868717","10.75","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.cooperativeLawFirm.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","11.390625","17.817187456414104","17.963437534868717","10.25","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/wp/selector/contractSelector.htm","org.springframework.boot.loader.WarLauncher","1.0","7.59375","7.796875","7.959374990314245","7.991875007748604","7.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getChildrenHierarchy.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.59375","92.748779296875","97.74975556129357","98.74995141034015","53.00","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/user/todolistNew/hdProductWorkflowList.jsp","org.springframework.boot.loader.WarLauncher","1.0","7.59375","11.390625","12.67812492325902","12.935625061392784","9.75","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.fullTimeLaw.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.59375","7.796875","7.959374990314245","7.991875007748604","7.50","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/user/caslogout.jsp","org.springframework.boot.loader.WarLauncher","1.0","7.59375","7.796875","7.959374990314245","7.991875007748604","8.00","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/user/caslogout.jsp","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.59375","8.296875","8.859374966472387","8.97187502682209","8.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/wp/selector/G_1_iamCtSelector.htm","org.springframework.boot.loader.WarLauncher","1.0","7.59375","7.796875","7.959374990314245","7.991875007748604","7.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.hasChangeMarkByContractId.dwr","org.springframework.boot.loader.WarLauncher","0.9994977398292315","7.574803517964072","9.765766299591599","13.716823701734667","32.57333727066334","9.76","0.01","1991","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.refreshIsMoreYear.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.50078125","9.436351102941176","11.118887754047618","16.345562517642975","8.38","< 0.01","113","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrAppFormService.getContractInfoText.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.475066489361702","9.370492788461538","11.064483173076923","12.624597787857056","8.14","< 0.01","435","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrProductWorkflowListService.findInvalidList.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.4453125","11.79296875","12.75859359651804","12.951718796044588","9.33","< 0.01","3","0.00","0","0","0","Web请求"
"SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/getCommonOpinion/{account}","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.4107356459330145","9.260967548076923","11.062049278846153","15.09263026714325","8.58","< 0.01","370","0.00","0","0","370","Web请求"
"SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/getCommonOpinion/{account}","org.springframework.boot.loader.WarLauncher","1.0","7.369752798507463","9.170131138392858","11.044160321780613","14.366464018821716","8.52","< 0.01","691","0.00","0","0","691","Web请求"
"URI/grcv5/wp/selector/G_1_templateSelector.htm","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.3546875","9.333984375","11.932029873132706","14.386405974626541","8.35","< 0.01","17","0.00","0","0","0","Web请求"
"URI/grcv5/user/product/operations/intervene.jsp","org.springframework.boot.loader.WarLauncher","1.0","7.3546875","9.333984375","13.099214404821396","20.989217847585678","8.68","< 0.01","34","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findKeeper.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.328125","9.30234375","21.357421875","33.58868055045605","9.37","< 0.01","30","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrLetterInfoService.returnLetterIdByContractId.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.325140449438202","9.05921052631579","11.03092044278195","14.352211833000183","8.16","< 0.01","148","0.00","0","0","0","Web请求"
