"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"URI/grcv5/dwr/call/plaincall/dwrHdWorkflowService.save.dwr","URI/grcv5/dwr/call/plaincall/dwrHdWorkflowService.save.dwr","399.0598","280140","1.1579084","702","0.0040625","0.0","0","16","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.changeStatus.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.changeStatus.dwr","398.25","1593","0.0065843794","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/restapi/other/v1/download","SpringController/serverapi/restapi/other/v1/download","382.7143","5358","0.022146331","14","8.1018516E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findBusinessList.dwr","URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findBusinessList.dwr","369.36896","3244537","13.410711","8784","0.050833333","0.0","0","358","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/tyc/findRelation (POST)","SpringController/serverapi/v1/tyc/findRelation (POST)","351.11905","14747","0.060954075","42","2.4305556E-4","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}","SpringController/${url.attachment}/${url.attachment.download}","345.6047","176604","0.7299609","511","0.002957176","0.0","0","19","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/operations/addWaterMark (POST)","SpringController/serverapi/v1/operations/addWaterMark (POST)","336.1875","5379","0.02223313","16","9.259259E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrHdWorkflowService.inform.dwr","URI/grcv5/dwr/call/plaincall/dwrHdWorkflowService.inform.dwr","328.0","328","0.0013557291","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getArchiveInstIdByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getArchiveInstIdByContractId.dwr","307.0","921","0.003806788","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}/previewAnnexWord","SpringController/${url.attachment}/${url.attachment.download}/previewAnnexWord","304.63635","3351","0.013850757","11","6.3657404E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContactViewService.getStatusById.dwr","URI/grcv5/dwr/call/plaincall/dwrContactViewService.getStatusById.dwr","285.68832","43996","0.18184957","154","8.912037E-4","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/product/dataStatistics/subpage/case.jsp","URI/grcv5/user/product/dataStatistics/subpage/case.jsp","277.0","277","0.0011449298","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_legalInstitutionalLibrary/G_1_legalInstitutionLibRevView.htm","URI/grcv5/wp/G_1_legalInstitutionalLibrary/G_1_legalInstitutionLibRevView.htm","270.0","270","0.0011159965","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.findContractExecutor.dwr","URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.findContractExecutor.dwr","259.06","12953","0.0535389","50","2.8935185E-4","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/bpm/edit.htm","URI/grcv5/bpm/edit.htm","258.0","258","0.0010663967","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
